sample_name,team_site_location_id,sampleID,,collection_timestamp,hh:mm,latitude,longitude,geo_loc_name,county,place name,"city, nearest town","environmental feature (habitat) original, i.e. as described in the logsheet",environmental feature (habitat) curated,Elevation (meters),current land use,land use curated (according to EMP 500 Soil),"plant type/species (original entry, i.e. as described on logsheets)",plant species (curated) ,Vegetation Zone,soil temperature (°C),soil moisture (%),soil lab: % moisture,Soil Weight g  (DNA kit) ,DNA (ug/mL),DNA (ug/mL),10/12: DNA (μg/mL),soil_type,Litter type,Litter depth (approximation (cm),pH,pH_corrected,mg-C / kg of soil (method DOI:10.1080/00103629309368926),mg-N / kg of soil (method DOI: 10.1080/00103629309368926)
isd_1_site_6_loc_1_repl_2_DNA,isd_1_site_6_loc_1,11,2016-06-15T16:15,15/06/2016,16:15,35.2433122,24.1637745,"Greece: Crete, Chania",Chania,"Impros, above the ravine",Impros,"forest, gravel field",gravel field; road,776,"pine trees, gravel, garb",roads/railroads; gravel; conifers,cedar tree  ,Cedrus spp.,sub-mountainous,-,1,0.9007,0.2539,16.1,18.4,44.5,gravel,-,-,6.7,6.7,120.2,1.4
isd_1_site_6_loc_2_repl_2_DNA,isd_1_site_6_loc_2,12,2016-06-15T16:15,15/06/2016,16:15,35.2433122,24.1637745,"Greece: Crete, Chania",Chania,"Impros, above the ravine",Impros,"forest, gravel field",gravel field; road,776,"pine trees, gravel, garb",roads/railroads; gravel; conifers,cedar tree  ,Cedrus spp.,sub-mountainous,-,1,0.0956,0.2571,25.6,10.9,26.7,gravel,-,-,7,7,89.8,0.1
isd_1_site_7_loc_1_repl_2_DNA,isd_1_site_7_loc_1,13,2016-06-15T17:15,15/06/2016,17:15,35.2230895,24.1587308,"Greece: Crete, Chania",Chania,road between Impros & Komitades,Impros,shrubland,scrubland; gravel field; road,684,pristine,roads/railroads; shrub land; gravel,yellow shrub,,sub-mountainous,-,1.2,0.9102,0.2516,4.95,20.1,43.7,red soil/clay,no litter,0,6.8,6.8,14.4,0.4
isd_1_site_7_loc_2_repl_2_DNA,isd_1_site_7_loc_2,14,2016-06-15T17:15,15/06/2016,17:15,35.2230895,24.1587308,"Greece: Crete, Chania",Chania,road between Impros & Komitades,Impros,shrubland,scrubland; gravel field; road,684,pristine,roads/railroads; shrub land; gravel,yellow shrub,,sub-mountainous,-,1.1,1.4254,0.2571,2.32,20.2,53.5,red soil/clay,no litter,0,6.8,6.8,5.3,0.5
isd_2_site_1_loc_1_repl_2_DNA,isd_2_site_1_loc_1,15,2016-06-15T11:47,15/06/2016,11:47,35.0016,25.0832,"Greece: Crete, Heraklion",Heraklion,Asterousia mountain slopes,Sternes,-,gravel field; road,420,grazing,roads/railroads; pastureland; gravel,wild pear tree,Pirus communis,sub-mountainous,-,-,2.4951,0.2508,21.8,8.94,31.9,loamy - sandy soil,-,-,-,NA,18.3,1.7
isd_2_site_1_loc_2_repl_2_DNA,isd_2_site_1_loc_2,16,2016-06-15T11:47,15/06/2016,11:47,35.0016,25.0832,"Greece: Crete, Heraklion",Heraklion,Asterousia mountain slopes,Sternes,-,gravel field; road,420,grazing,roads/railroads; pastureland; gravel,wild pear tree,Pirus communis,sub-mountainous,-,-,1.3693,0.2585,24.3,13,42.7,loamy - sandy soil,-,-,-,NA,12.3,1.3
isd_2_site_2_loc_1_repl_2_DNA,isd_2_site_2_loc_1,17,2016-06-15T13:45,15/06/2016,13:45,34.9827,25.0893,"Greece: Crete, Heraklion",Heraklion,"mountain slopes, near Ag. Nikolaos",Sternes,-,gravel field; ,805,grazing,pastureland; gravel,black thorn (mauri agkathia),,mountainous,-,-,1.6685,0.2557,7.38,16.1,44,-,dry leaves of the bush,0.5,-,NA,25.3,1.6
isd_2_site_2_loc_2_repl_2_DNA,isd_2_site_2_loc_2,18,2016-06-15T13:45,15/06/2016,13:45,34.9827,25.0893,"Greece: Crete, Heraklion",Heraklion,"mountain slopes, near Ag. Nikolaos",Sternes,-,gravel field; ,805,grazing,pastureland; gravel,black thorn (mauri agkathia),,mountainous,-,-,1.7611,0.2571,12,32.8,42.7,-,dry leaves of the bush,0.5,-,NA,15.5,1.3
isd_2_site_3_loc_1_repl_2_DNA,isd_2_site_3_loc_1,19,2016-06-15T14:30,15/06/2016,14:30,34.9709,25.0885,"Greece: Crete, Heraklion",Heraklion,Asterousia mountain peak,Sternes,-,grassland; pasture,1022,grazing,roads/railroads; pastureland; meadows,astivida  ,Sarcopterium spinosum,mountainous,-,-,3.5643,0.2585,12.6,4.39,20.2,-,dry leaves of the bush,0,-,NA,31.6,2.3
isd_2_site_3_loc_2_repl_2_DNA,isd_2_site_3_loc_2,20,2016-06-15T14:30,15/06/2016,14:30,34.9709,25.0885,"Greece: Crete, Heraklion",Heraklion,Asterousia mountain peak,Sternes,-,grassland; pasture,1022,grazing,roads/railroads; pastureland; meadows,astivida  ,Sarcopterium spinosum,mountainous,-,-,3.2653,0.2564,26.8,3.45,15.8,-,dry leaves of the bush,0,-,NA,29.1,2.4
isd_2_site_4_loc_1_repl_2_DNA,isd_2_site_4_loc_1,21,2016-06-15T14:50,15/06/2016,14:50,34.9709,25.0885,"Greece: Crete, Heraklion",Heraklion,Asterousia mountain peak,Sternes,-,grassland; pasture,1022,grazing,roads/railroads; pastureland; meadows,throumpa  ,Satureja thymbra,mountainous,-,-,4.3473,0.2556,44.5,23.2,59.2,rocky slope,dry leaves of the bush,0,-,NA,33.1,2.3
isd_2_site_4_loc_2_repl_2_DNA,isd_2_site_4_loc_2,22,2016-06-15T14:50,15/06/2016,14:50,34.9709,25.0885,"Greece: Crete, Heraklion",Heraklion,Asterousia mountain peak,Sternes,-,grassland; pasture,1022,grazing,roads/railroads; pastureland; meadows,throumpa  ,Satureja thymbra,mountainous,-,-,0.8763,0.25,8.57,8.54,16.1,rocky slope,dry leaves of the bush,0,-,NA,19.7,1.3
isd_2_site_5_loc_1_repl_2_DNA,isd_2_site_5_loc_1,23,2016-06-15T15:18,15/06/2016,15:18,34.9598,25.0986,"Greece: Crete, Heraklion",Heraklion,Asterousia mountain ,Sternes,-,woodland; gravel field,1030,-,roads/railroads; gravel; conifers,forest pine  ,Pinus pinea,mountainous,-,-,0.8972,0.2517,8.38,7.68,25.2,-,-,-,-,NA,132.9,1.9
isd_2_site_5_loc_2_repl_2_DNA,isd_2_site_5_loc_2,24,2016-06-15T15:18,15/06/2016,15:18,34.9598,25.0986,"Greece: Crete, Heraklion",Heraklion,Asterousia mountain ,Sternes,-,woodland; gravel field,1030,-,roads/railroads; gravel; conifers,forest pine  ,Pinus pinea,mountainous,-,-,2.5826,0.2606,26.7,7.59,26.1,-,-,-,-,NA,174.5,5.7
isd_2_site_6_loc_1_repl_2_DNA,isd_2_site_6_loc_1,25,2016-06-15T15:40,15/06/2016,15:40,34.9599,25.0985,"Greece: Crete, Heraklion",Heraklion,Asterousia mountain ,Sternes,-,woodland; gravel field,1031,-,roads/railroads; gravel; conifers,kyparissia  ,Cupressus sempervirens,mountainous,-,-,4.5986,0.2523,30.8,7.18,21.8,-,-,-,-,NA,160.3,7.5
isd_2_site_6_loc_2_repl_2_DNA,isd_2_site_6_loc_2,26,2016-06-15T15:40,15/06/2016,15:40,34.9599,25.0985,"Greece: Crete, Heraklion",Heraklion,Asterousia mountain ,Sternes,-,woodland; gravel field,1031,-,roads/railroads; gravel; conifers,kyparissia  ,Cupressus sempervirens,mountainous,-,-,5.2227,0.2586,14.7,8.07,24.3,-,-,-,-,NA,142.4,6.2
isd_2_site_7_loc_1_repl_2_DNA,isd_2_site_7_loc_1,27,2016-06-15T16:10,15/06/2016,16:10,34.9526,25.0991,"Greece: Crete, Heraklion",Heraklion,Asterousia mountain south slope,Sternes,-,woodland; gravel field,774,-,roads/railroads; gravel,faskomilo  ,Salvia officinalis,sub-mountainous,-,-,2.3803,0.2568,27.2,8.43,27.2,-,-,-,-,NA,66.9,4.3
isd_2_site_7_loc_2_repl_2_DNA,isd_2_site_7_loc_2,28,2016-06-15T16:10,15/06/2016,16:10,34.9526,25.0991,"Greece: Crete, Heraklion",Heraklion,Asterousia mountain south slope,Sternes,-,woodland; gravel field,774,-,roads/railroads; gravel,faskomilo  ,Salvia officinalis,sub-mountainous,-,-,3.1567,0.2508,16.6,5.11,26,-,-,-,-,NA,54,2.7
isd_2_site_8_loc_1_repl_2_DNA,isd_2_site_8_loc_1,29,2016-06-15T16:30,15/06/2016,16:30,34.9391,25.0852,"Greece: Crete, Heraklion",Heraklion,Moni Koudouma south sea side,Sternes,-,woodland; gravel field; road,24,-,roads/railroads; gravel; conifers,forest pine  ,Pinus pinea,lowland,-,-,0.6398,0.2514,12.5,1.34,8.48,-,-,-,-,NA,54.1,2.7
isd_2_site_8_loc_2_repl_2_DNA,isd_2_site_8_loc_2,30,2016-06-15T16:30,15/06/2016,16:30,34.9391,25.0852,"Greece: Crete, Heraklion",Heraklion,Moni Koudouma south sea side,Sternes,-,woodland; gravel field; road,24,-,roads/railroads; gravel; conifers,forest pine  ,Pinus pinea,lowland,-,-,0.6725,0.25,19,5.13,16.7,-,-,-,-,NA,101.6,1.5
isd_2_site_9_loc_1_repl_2_DNA,isd_2_site_9_loc_1,31,2016-06-15T17:05,15/06/2016,17:05,34.9377,25.0855,"Greece: Crete, Heraklion",Heraklion,Moni Koudouma south sea side,Sternes,-,beach,7,-,sand,xaroupia  ,Ceratonia siliqua,coastal and littoral,-,-,0.8194,0.2577,21.5,,,-,-,-,-,NA,118.5,1.3
isd_2_site_9_loc_2_repl_2_DNA,isd_2_site_9_loc_2,32,2016-06-15T17:05,15/06/2016,17:05,34.9377,25.0855,"Greece: Crete, Heraklion",Heraklion,Moni Koudouma south sea side,Sternes,-,beach,7,-,sand,xaroupia  ,Ceratonia siliqua,coastal and littoral,-,-,0.4923,0.2541,9.31,,,-,-,-,-,NA,119.6,2.3
isd_2_site_10_loc_1_repl_2_DNA,isd_2_site_10_loc_1,33,2016-06-15T17:05,15/06/2016,17:05,34.9661,25.032,"Greece: Crete, Heraklion",Heraklion,Kapetaniana,Kapetaniana,-,gravel field; road,798,-,roads/railroads; gravel,agkarathia  ,Phlomis lanata,sub-mountainous,-,-,1.1216,0.253,14.7,,,-,-,-,-,NA,30.1,1
isd_2_site_10_loc_2_repl_2_DNA,isd_2_site_10_loc_2,34,2016-06-15T17:05,15/06/2016,17:05,34.9661,25.032,"Greece: Crete, Heraklion",Heraklion,Kapetaniana,Kapetaniana,-,gravel field; road,798,-,roads/railroads; gravel,agkarathia  ,Phlomis lanata,sub-mountainous,-,-,1.6547,0.25,11.3,,,-,-,-,-,NA,7.5,0.6
isd_3_site_1_loc_1_repl_2_DNA,isd_3_site_1_loc_1,35,2016-06-15T13:20,15/06/2016,13:20,35.50014385,23.6885057,"Greece: Crete, Chania",Chania,Kokkino Metochi,Korfalonas,beach,beach,1,beach,roads/railroads; sand,tamerisk  ,Tamarix parviflora,coastal and littoral,-,1,0.489,0.2535,9.36,,,-,fine haflitter ?,0,soil too dry for pH,NA,32.9,0.6
isd_3_site_1_loc_2_repl_2_DNA,isd_3_site_1_loc_2,36,2016-06-15T13:20,15/06/2016,13:30,35.50014385,23.6885057,"Greece: Crete, Chania",Chania,Kokkino Metochi,Korfalonas,beach,beach,1,beach,roads/railroads; sand,tamerisk  ,Tamarix parviflora,coastal and littoral,-,1,1.6142,0.2503,50,,,-,fine to woody,10,soil too dry for pH,NA,62.4,2.9
isd_3_site_2_loc_1_repl_2_DNA,isd_3_site_2_loc_1,37,2016-06-15T15:10,15/06/2016,15:10,35.3269235,23.5498822,"Greece: Crete, Chania",Chania,"Chrisoskalitisa, Stomio beach",Plokamiana,"sandy soil, pines",scrubland; arenosol,8,campground near beach,shrub land; conifers,forest pine  ,Pinus pinea,coastal and littoral,-,1,0.5386,0.2538,20.2,,,sandy,a few nudles?,0,-,NA,26.3,1.1
isd_3_site_2_loc_2_repl_2_DNA,isd_3_site_2_loc_2,38,2016-06-15T15:20,15/06/2016,15:20,35.3270916,23.5499406,"Greece: Crete, Chania",Chania,"Chrisoskalitisa, Stomio beach",Plokamiana,"sandy soil, pines",scrubland; arenosol,8,campground near beach,shrub land; conifers,forest pine  ,Pinus pinea,coastal and littoral,-,1,0.3739,0.2519,15.8,,,sandy,a few nudles?,0,-,NA,34.9,1.3
isd_3_site_3_loc_1_repl_2_DNA,isd_3_site_3_loc_1,39,2016-06-15T15:40,15/06/2016,15:40,35.3271509,23.5498791,"Greece: Crete, Chania",Chania,"Chrisoskalitisa, Stomio beach",Plokamiana,arch across road from beach,scrubland; arenosol,8,outside camping,shrub land,shrub,,coastal and littoral,-,-,0.0978,0.2552,4.78,,,-,leaves,1,-,NA,11.9,0.5
isd_3_site_3_loc_2_repl_2_DNA,isd_3_site_3_loc_2,40,2016-06-15T15:45,15/06/2016,15:45,35.3272526,23.5498975,"Greece: Crete, Chania",Chania,"Chrisoskalitisa, Stomio beach",Plokamiana,arch across road from beach,scrubland; arenosol,8,outside camping,shrub land,shrub,,coastal and littoral,-,-,0.7134,0.2536,35.2,,,-,leaves,1,-,NA,26.7,1.7
isd_3_site_4_loc_1_repl_2_DNA,isd_3_site_4_loc_1,41,2016-06-15T16:20,15/06/2016,16:20,35.3634404,23.6301064,"Greece: Crete, Chania",Chania,Elos,Elos,-,woodland; road,543,wash by highway,roads/railroads; hardwood,chestnut tree  ,Castanea sativa,sub-mountainous,-,-,0.7854,0.2561,2.59,,,-,none (gravel),0,-,NA,3,0.3
isd_3_site_4_loc_2_repl_2_DNA,isd_3_site_4_loc_2,42,2016-06-15T16:40,15/06/2016,16:40,35.3634952,23.6301069,"Greece: Crete, Chania",Chania,Elos,Elos,-,woodland; road,542,wash by highway,roads/railroads; hardwood,chestnut tree  ,Castanea sativa,sub-mountainous,-,-,3.6858,0.251,12.4,,,-,woody & leaves,20,-,NA,34.7,1.7
isd_4_site_1_loc_1_repl_2_DNA,isd_4_site_1_loc_1,43,6/15/16,15/06/2016,,35.1205359,25.717035,"Greece: Crete, Lassithi",Lassithi,Pirgos (between road & river),"Pirgos, Kalo Chorio",-,olive grove,29,-,crop trees,-,,lowland,<39,1,1.9375,0.251,5.32,,,"small cobbles, light/ darkbrown mineral soil, river rocks",-,1,7,7,72,3.8
isd_4_site_1_loc_2_repl_2_DNA,isd_4_site_1_loc_2,44,6/15/16,15/06/2016,,35.1206186,25.7170332,"Greece: Crete, Lassithi",Lassithi,Pirgos (between road & river),"Pirgos, Kalo Chorio",-,olive grove,30,-,crop trees,-,,lowland,<39,1,3.6637,0.2551,9.82,,,"small cobbles, light/ darkbrown mineral soil, river rocks",-,1,7,7,67.3,2.7
isd_4_site_2_loc_1_repl_2_DNA,isd_4_site_2_loc_1,45,6/15/16,15/06/2016,,35.1324112,25.7252476,"Greece: Crete, Lassithi",Lassithi,road between Istro & Vathi,Istro,-,scrubland; sea coast,4,-,rock. shrub land,-,,coastal and littoral,-,1,1.341,0.2544,35.8,,,"silty, small cobble, few fine roots",leaves & thorns,10.5,6.7,6.7,95.7,1.1
isd_4_site_2_loc_2_repl_2_DNA,isd_4_site_2_loc_2,46,6/15/16,15/06/2016,,35.1324407,25.7253071,"Greece: Crete, Lassithi",Lassithi,road between Istro & Vathi,Istro,-,scrubland; sea coast,3,-,rock. shrub land,-,,coastal and littoral,-,1.3,2.3383,0.2503,19.3,,,"silt/sand, few small rocks",leaves & thorns,10.5,7,7,81.4,3.3
isd_4_site_3_loc_1_repl_2_DNA,isd_4_site_3_loc_1,47,6/15/16,15/06/2016,,35.1101141,25.8137115,"Greece: Crete, Lassithi",Lassithi,next to Ag. Photini church,Pacheia Ammos,-,gravel field,5,-,gravel,-,,coastal and littoral,-,1,2.8922,0.2518,15.9,,,"sandy silt, high clay content, clay cement clamps",mostly grasses,<1,7,7,81,1
isd_4_site_3_loc_2_repl_2_DNA,isd_4_site_3_loc_2,48,6/15/16,15/06/2016,,35.110095,25.8137092,"Greece: Crete, Lassithi",Lassithi,next to Ag. Photini church,Pacheia Ammos,-,gravel field,5,-,gravel,-,,coastal and littoral,-,1,1.1156,0.2526,25.6,,,"sandy silt, high clay content, clay cement clamps",mostly grasses,<1,7,7,59.6,1.1
isd_4_site_4_loc_1_repl_2_DNA,isd_4_site_4_loc_1,49,2016-06-15T13:10,15/06/2016,13:10,35.1740527,25.9934407,"Greece: Crete, Lassithi",Lassithi,near Lachana stone arch bridge,Exo Mouliana,-,forest; gorge,273,-,intermixed hardwood & conifers,fig  ,Ficus carica,lowland,-,5.5,5.374,0.2558,8.83,,,"organic, many fine roots, flat spot at base of slope",fig leaves,5,6.3,6.3,39,2.7
isd_4_site_4_loc_2_repl_2_DNA,isd_4_site_4_loc_2,50,2016-06-15T13:10,15/06/2016,13:10,35.1741047,25.9935535,"Greece: Crete, Lassithi",Lassithi,near Lachana stone arch bridge,Exo Mouliana,-,forest; gorge,279,-,intermixed hardwood & conifers,fig  ,Ficus carica,lowland,-,1,29.2048,0.2532,17,,,"organic, small cobbles/rocks 4 cm diameter, many fine roots, clay/loam, adjacent to shale",fig leaves,1,6.3,6.3,33.7,2
isd_4_site_5_loc_1_repl_2_DNA,isd_4_site_5_loc_1,51,2016-06-15T15:36,15/06/2016,15:36,35.1752553,25.9907724,"Greece: Crete, Lassithi",Lassithi,"forest,near Lachana stone arch bridge",Exo Mouliana,-,forest; gorge,245,pristine,intermixed hardwood & conifers,sycamore ,Ficus benjamina,lowland,-,9.5,101.5657,0.2315,7.74,,,"saturated, organic",sticks & leaves,<1,6.9,6.9,59.1,4.4
isd_4_site_5_loc_2_repl_2_DNA,isd_4_site_5_loc_2,52,2016-06-15T15:50,15/06/2016,15:50,35.1753034,25.9907665,"Greece: Crete, Lassithi",Lassithi,"forest,near Lachana stone arch bridge",Exo Mouliana,-,forest; gorge,247,pristine,intermixed hardwood & conifers,sycamore ,Ficus benjamina,lowland,-,8.2,141.4928,0.2423,7.23,,,"moists organic, sticky",decomposed leaves,<1,6.9,6.9,103.2,5.1
isd_4_site_6_loc_1_repl_2_DNA,isd_4_site_6_loc_1,53,2016-06-15T16:20,15/06/2016,16:20,35.180587,25.9873256,"Greece: Crete, Lassithi",Lassithi,near Richtis waterfall,Exo Mouliana,-,forest; gorge,194,-,intermixed hardwood & conifers,fig  ,Ficus carica,lowland,-,1.1,4.2167,0.2517,12.3,,,"gravel, no roots",no litter,0,7,7,34.9,2.2
isd_4_site_6_loc_2_repl_2_DNA,isd_4_site_6_loc_2,54,2016-06-15T16:35,15/06/2016,16:35,35.1806224,25.9872315,"Greece: Crete, Lassithi",Lassithi,near Richtis waterfall,Exo Mouliana,-,forest; gorge,198,-,intermixed hardwood & conifers,fig  ,Ficus carica,lowland,-,2,0.6615,0.2602,3.18,,,"gravel, no roots",no litter,0,6.8,6.8,22.6,0.1
isd_4_site_7_loc_1_repl_2_DNA,isd_4_site_7_loc_1,55,2016-06-15T17:30,15/06/2016,17:30,35.1856963,25.9864359,"Greece: Crete, Lassithi",Lassithi,near Richtis waterfall,Exo Mouliana,-,forest; gorge,121,pristine,intermixed hardwood & conifers,fig  ,Ficus carica,lowland,-,1,2.0303,0.2593,29.4,,,"sample adjacent to root mineral, silty sand, small gravel (<1 cm)","mixed sycamore, fig",8,7.1,7.1,33.9,0.9
isd_4_site_7_loc_2_repl_2_DNA,isd_4_site_7_loc_2,56,2016-06-15T17:38,15/06/2016,17:38,35.1857086,25.9864416,"Greece: Crete, Lassithi",Lassithi,near Richtis waterfall,Exo Mouliana,-,forest; gorge,121,pristine,intermixed hardwood & conifers,fig  ,Ficus carica,lowland,-,1.5,6.0031,0.2528,15.1,,,"sample adjacent to root mineral, silty sand, small gravel (<1 cm)","mixed sycamore, fig",5,6.9,6.9,18.4,0.7
isd_4_site_8_loc_1_repl_2_DNA,isd_4_site_8_loc_1,57,2016-06-15T18:15,15/06/2016,18:15,35.1960434,25.9842598,"Greece: Crete, Lassithi",Lassithi,"beach, Next to Kalavros",Exo Mouliana,park/beach,woodland; beach,6,beach,sand,unknown (saltcedar?),Tamarix parviflora,coastal and littoral,-,1.5,21.8289,0.2585,6.29,,,"duff, floffy, low clay content",needled,5,8,8,139.7,12.3
isd_4_site_8_loc_2_repl_2_DNA,isd_4_site_8_loc_2,58,2016-06-15T18:15,15/06/2016,18:15,35.1961411,25.9843203,"Greece: Crete, Lassithi",Lassithi,"beach, Next to Kalavros",Exo Mouliana,park/beach,woodland; beach,5,beach,sand,unknown (saltcedar?),Tamarix parviflora,coastal and littoral,-,1.5,4.4976,0.257,9.71,,,"duff, floffy, low clay content",needled,5,8,8,27.4,1.8
isd_5_site_1_loc_1_repl_2_DNA,isd_5_site_1_loc_1,59,6/15/16,15/06/2016,-,35.3316469,25.2825346,"Greece: Crete, Heraklion",Heraklion,HCMR's garden,Gournes ,-,garden,4,-,horticultural plants,-,,coastal and littoral,-,-,1.8529,0.253,13.7,,,-,-,-,-,NA,38.6,1.1
isd_5_site_1_loc_2_repl_2_DNA,isd_5_site_1_loc_2,60,6/15/16,15/06/2016,-,35.3316469,25.2825346,"Greece: Crete, Heraklion",Heraklion,HCMR's garden,Gournes ,-,garden,4,-,horticultural plants,-,,coastal and littoral,-,-,0.5955,0.2599,26,,,-,-,-,-,NA,34.7,0.9
isd_5_site_2_loc_1_repl_2_DNA,isd_5_site_2_loc_1,61,6/15/16,15/06/2016,-,35.3334343,25.2843411,"Greece: Crete, Heraklion",Heraklion,beach in front of Cretaquarium,Gournes,-,beach,2,-,roads/railroads; sand,-,,coastal and littoral,-,-,0.1621,0.2503,6.53,,,-,-,-,-,NA,62.3,0.1
isd_5_site_2_loc_2_repl_2_DNA,isd_5_site_2_loc_2,62,6/15/16,15/06/2016,-,35.3331984,25.2842214,"Greece: Crete, Heraklion",Heraklion,beach in front of Cretaquarium,Gournes,near HCMR,beach,2,beach,roads/railroads; sand,Grass,,coastal and littoral,-,1,0.098,0.2518,8.48,,,-,-,-,7,7,64.2,0.1
isd_5_site_3_loc_1_repl_2_DNA,isd_5_site_3_loc_1,63,6/15/16,15/06/2016,-,35.3331663,25.2882604,"Greece: Crete, Heraklion",Heraklion,seaside road between HCMR & Gournes,Gournes,near HCMR,beach,1,beach,roads/railroads; sand,Shrub,,coastal and littoral,-,1,0.2564,0.2557,16.7,,,-,-,-,7,7,87.7,2.2
isd_5_site_3_loc_2_repl_2_DNA,isd_5_site_3_loc_2,64,6/15/16,15/06/2016,-,35.3331955,25.2882986,"Greece: Crete, Heraklion",Heraklion,seaside road between HCMR & Gournes,Gournes,near HCMR,beach,1,beach,roads/railroads; sand,Shrub,,coastal and littoral,-,1,0.5964,0.2578,10.1,,,-,-,-,7,7,79.9,1.3
isd_5_site_4_loc_1_repl_2_DNA,isd_5_site_4_loc_1,65,6/15/16,15/06/2016,-,35.3332412,25.2906047,"Greece: Crete, Heraklion",Heraklion,seaside road between HCMR & Gournes,Gournes,near HCMR,beach; road,2,beach,roads/railroads; sand,Tree,,coastal and littoral,-,1.8,7.6549,0.259,7.56,,,-,-,-,7,7,68.7,1.5
